source,article_url,title,date,shortened_full_text,combined_text,sentiment_label,sentiment_score
The New York Times,https://www.nytimes.com/2023/02/07/world/europe/fairfax-los-angeles-turkey-syria-earthquake.html,The U.S. aid agency deploys two search and rescue teams to Turkey.,"Feb. 7, 2023","They join the thousands of rescuers from Syria and Turkey already there. The United States Agency for International Development said on Monday evening that it was deploying two specialized search and rescue teams as part of the official American response to the deadly earthquake in Turkey and Syria, adding to the thousands of rescue workers trying to reach the devastated region.","The U.S. aid agency deploys two search and rescue teams to Turkey. They join the thousands of rescuers from Syria and Turkey already there. The United States Agency for International Development said on Monday evening that it was deploying two specialized search and rescue teams as part of the official American response to the deadly earthquake in Turkey and Syria, adding to the thousands of rescue workers trying to reach the devastated region.",POSITIVE,0.989737331867218
The New York Times,https://www.nytimes.com/2022/05/27/fashion/jewelry-begum-khan-istanbul.html,"Flora, Fauna and Flights of Imagination","May 27, 2022","Begum Kiroglu on the themes of her Istanbul-based jewelry brand, called Begum Khan. Ms. Kiroglu, 36, also designs men’s and women’s jewelry and evening bags that then are handcrafted in small ateliers in Istanbul, where she grew up and lives (when she is not in Paris). I went to Italian schools in Istanbul because my parents wanted me to have a multicultural background. Then, I studied business administration at Koc University in Istanbul and management for fashion and design companies at Bocconi University in Milan.","Flora, Fauna and Flights of Imagination Begum Kiroglu on the themes of her Istanbul-based jewelry brand, called Begum Khan. Ms. Kiroglu, 36, also designs men’s and women’s jewelry and evening bags that then are handcrafted in small ateliers in Istanbul, where she grew up and lives (when she is not in Paris). I went to Italian schools in Istanbul because my parents wanted me to have a multicultural background. Then, I studied business administration at Koc University in Istanbul and management for fashion and design companies at Bocconi University in Milan.",POSITIVE,0.8801584243774414
The New York Times,https://www.nytimes.com/2022/03/09/world/middleeast/israel-isaac-herzog-turkey-visit.html,Israel’s President Visits Turkey in Sign of Thawing Relations,"March 9, 2022","In their highest-level meeting in 14 years, Israel and Turkey sought to rekindle an alliance after years of turbulence. JERUSALEM — President Isaac Herzog of Israel was received on Wednesday with pomp and ceremony by President Recep Tayyip Erdogan of Turkey during a state visit described by both sides as an effort to reset after years of testy and broken relations between the onetime regional allies. But it was the highest-level meeting of an Israeli leader in Turkey in 14 years. The two presidents and their delegations met at the presidential complex in Ankara, Turkey. “I believe that this historic visit will be a new turning point in the relations of Turkey and Israel,” Mr. Erdogan said, flanked by Israeli and Turkish flags as the two presidents made statements after their summit. Once Israel’s closest friend in the Muslim world, Turkey fell out with it after a deadly confrontation in 2010 between Israeli commandos and Turkish activists on a passenger vessel that tried to breach Israel’s naval blockade of the Gaza Strip, the Palestinian coastal territory that is under the control of Hamas, the Islamic militant group.","Israel’s President Visits Turkey in Sign of Thawing Relations In their highest-level meeting in 14 years, Israel and Turkey sought to rekindle an alliance after years of turbulence. JERUSALEM — President Isaac Herzog of Israel was received on Wednesday with pomp and ceremony by President Recep Tayyip Erdogan of Turkey during a state visit described by both sides as an effort to reset after years of testy and broken relations between the onetime regional allies. But it was the highest-level meeting of an Israeli leader in Turkey in 14 years. The two presidents and their delegations met at the presidential complex in Ankara, Turkey. “I believe that this historic visit will be a new turning point in the relations of Turkey and Israel,” Mr. Erdogan said, flanked by Israeli and Turkish flags as the two presidents made statements after their summit. Once Israel’s closest friend in the Muslim world, Turkey fell out with it after a deadly confrontation in 2010 between Israeli commandos and Turkish activists on a passenger vessel that tried to breach Israel’s naval blockade of the Gaza Strip, the Palestinian coastal territory that is under the control of Hamas, the Islamic militant group.",NEGATIVE,0.7710878849029541
The Guardian,https://www.theguardian.com/commentisfree/2023/oct/09/azerbaijani-ethnic-cleansing-armenians-nagorno-karabakh-children,"As an Azerbaijani, I have to speak out about my country’s ethnic cleansing of Armenians",9 Oct 2023 07.00 CEST,"We were labelled “Turks”, with obvious traumatic associations with the Armenian genocide, which made us guilty for a crime in another land by another people. The cultural, religious and linguistic differences between the Caucasian Azerbaijanis and Anatolian Turks, who had in fact fought wars with each other, did not concern the Armenian nationalists.","As an Azerbaijani, I have to speak out about my country’s ethnic cleansing of Armenians We were labelled “Turks”, with obvious traumatic associations with the Armenian genocide, which made us guilty for a crime in another land by another people. The cultural, religious and linguistic differences between the Caucasian Azerbaijanis and Anatolian Turks, who had in fact fought wars with each other, did not concern the Armenian nationalists.",NEGATIVE,0.993906557559967
Aljazeera,https://www.aljazeera.com/where/turkey/opinions/2023/8/20/forgetting-the-ottoman-past-has-done-the-arabs-no-good,Forgetting the Ottoman past has done the Arabs no good,20 Aug 2023,"Some of the states that succeeded the Ottoman Empire have chosen to sum up Ottoman rule in local curricula as simply Ottoman or Turkish “occupation”, while others repeat well-rehearsed tropes of “Ottoman atrocities” that continue to have popular purchase on a local level. Indeed, Ottoman imperial history in the Arab world cannot be boiled down to a “Turkish occupation” or a “foreign yoke”. The Istanbul branch of the family, known as Azmzades, also held key positions in the palace, the various ministries and commissions, and later in the Ottoman parliament during the reign of Abdülhamid II and the second Ottoman constitutional period. The Malhamés were acting as commercial and political power brokers in cities like Istanbul, Beirut, Sofia and Paris. Some of them held positions that ranged from diplomats negotiating on behalf of the sultan with imperial counterparts in Europe, Russia, and Africa to advisers who planned and executed major imperial projects, such as the implementation of public health measures in Istanbul and the construction of a railway linking the Hijaz region in the Arabian Peninsula with Syria and the capital. These are also stories of better-known families like some of al-Khalidis and al-Abids, notable Arab-Ottoman political families who called Istanbul home, but maintained households and familial connections in Aleppo, Jerusalem, and Damascus. Their recent history was replaced by a short summary that painted “the Turk” as a foreign Other, the Arab Revolt as a war of liberation, and Western colonial occupation as an inevitable conclusion to the disintegration of “the sick man of Europe”. We must ask ourselves why is it that researchers from Arabic-speaking-majority countries frequent French and English imperial archives, but do not spend the time or the resources to learn Ottoman-Turkish in order to take advantage of four centuries worth of records readily available at the Ottoman imperial archives in Istanbul or local archives in former provincial capitals? Have we bought into the nationalist understanding of history in which Ottoman-Turkish and the Ottoman past belong solely to Turkish national historiography? Are we still the victim of a century’s worth of short-sighted political interests that ebb and flow as regional tensions between Arab countries and Turkey rise and fall?","Forgetting the Ottoman past has done the Arabs no good Some of the states that succeeded the Ottoman Empire have chosen to sum up Ottoman rule in local curricula as simply Ottoman or Turkish “occupation”, while others repeat well-rehearsed tropes of “Ottoman atrocities” that continue to have popular purchase on a local level. Indeed, Ottoman imperial history in the Arab world cannot be boiled down to a “Turkish occupation” or a “foreign yoke”. The Istanbul branch of the family, known as Azmzades, also held key positions in the palace, the various ministries and commissions, and later in the Ottoman parliament during the reign of Abdülhamid II and the second Ottoman constitutional period. The Malhamés were acting as commercial and political power brokers in cities like Istanbul, Beirut, Sofia and Paris. Some of them held positions that ranged from diplomats negotiating on behalf of the sultan with imperial counterparts in Europe, Russia, and Africa to advisers who planned and executed major imperial projects, such as the implementation of public health measures in Istanbul and the construction of a railway linking the Hijaz region in the Arabian Peninsula with Syria and the capital. These are also stories of better-known families like some of al-Khalidis and al-Abids, notable Arab-Ottoman political families who called Istanbul home, but maintained households and familial connections in Aleppo, Jerusalem, and Damascus. Their recent history was replaced by a short summary that painted “the Turk” as a foreign Other, the Arab Revolt as a war of liberation, and Western colonial occupation as an inevitable conclusion to the disintegration of “the sick man of Europe”. We must ask ourselves why is it that researchers from Arabic-speaking-majority countries frequent French and English imperial archives, but do not spend the time or the resources to learn Ottoman-Turkish in order to take advantage of four centuries worth of records readily available at the Ottoman imperial archives in Istanbul or local archives in former provincial capitals? Have we bought into the nationalist understanding of history in which Ottoman-Turkish and the Ottoman past belong solely to Turkish national historiography? Are we still the victim of a century’s worth of short-sighted political interests that ebb and flow as regional tensions between Arab countries and Turkey rise and fall?",NEGATIVE,0.9967080354690552
BBC,https://www.bbc.com/news/world-europe-64413620,Cost of living crisis gives Erdogan biggest poll test yet,5 Feb 2023,"She is one of millions of Turks struggling to cope with the cost of living in a country where the official inflation rate is higher than 57%. But one elderly man shopping for groceries in a street market in Istanbul was unimpressed. But Global Source Partners Turkey consultant Atilla Yesilada believes that inflation will eat into the pay rises too soon. A decision is likely to come on 13 February and many expect they will choose Kemal Kilicdaroglu, the leader of Turkey's main opposition party, the Republican People's Party (CHP). Another much-discussed figure is Istanbul's mayor Ekrem Imamoglu. Soner Cagaptay from The Washington Institute think tank believes any attempt to ban the mayor of Istanbul from political life could backfire. He points out that President Erdogan himself was in a very similar situation in the 1990s - a popular and successful mayor of Istanbul who was banned from politics by Turkey's secular courts. It is Turkey's third-biggest party that could play the role of kingmaker. In January its state funding was cut off by Turkey's top court and it could even be banned for alleged links to Kurdish militants. If the presidential race goes to a second round, the HDP's support will most probably determine Turkey's next president. Article 101 in the Turkish constitution states that ""a person may be elected as president of the republic for two terms at most"". For Mr Erdogan, who has led Turkey since 2003, first as prime minister and later as directly elected president, the vote will decide whether his rule will go into a third decade.","Cost of living crisis gives Erdogan biggest poll test yet She is one of millions of Turks struggling to cope with the cost of living in a country where the official inflation rate is higher than 57%. But one elderly man shopping for groceries in a street market in Istanbul was unimpressed. But Global Source Partners Turkey consultant Atilla Yesilada believes that inflation will eat into the pay rises too soon. A decision is likely to come on 13 February and many expect they will choose Kemal Kilicdaroglu, the leader of Turkey's main opposition party, the Republican People's Party (CHP). Another much-discussed figure is Istanbul's mayor Ekrem Imamoglu. Soner Cagaptay from The Washington Institute think tank believes any attempt to ban the mayor of Istanbul from political life could backfire. He points out that President Erdogan himself was in a very similar situation in the 1990s - a popular and successful mayor of Istanbul who was banned from politics by Turkey's secular courts. It is Turkey's third-biggest party that could play the role of kingmaker. In January its state funding was cut off by Turkey's top court and it could even be banned for alleged links to Kurdish militants. If the presidential race goes to a second round, the HDP's support will most probably determine Turkey's next president. Article 101 in the Turkish constitution states that ""a person may be elected as president of the republic for two terms at most"". For Mr Erdogan, who has led Turkey since 2003, first as prime minister and later as directly elected president, the vote will decide whether his rule will go into a third decade.",NEGATIVE,0.9902556538581848
Aljazeera,https://www.aljazeera.com/where/turkey/podcasts/2023/2/16/turkey-mourns-as-it-grapples-to-recover,Turkey mourns as it grapples with recovery,16 Feb 2023,"A humanitarian crisis is unfolding in Turkey nearly two weeks after two deadly earthquakes rocked the country and left a trail of destruction. Despite receiving humanitarian assistance from countries around the globe, Turkey faces enormous recovery challenges ahead.","Turkey mourns as it grapples with recovery A humanitarian crisis is unfolding in Turkey nearly two weeks after two deadly earthquakes rocked the country and left a trail of destruction. Despite receiving humanitarian assistance from countries around the globe, Turkey faces enormous recovery challenges ahead.",POSITIVE,0.845425546169281
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/31/nato-launches-arctic-exercises-pledges-protection-of-finland,"NATO launches Arctic exercises, pledges protection of Finland",31 May 2023,"Turkey ratified Finland’s NATO membership but has yet to do so for Sweden. Turkish President Recep Tayyip Erdogan says Sweden has not yet met all of his country’s demands on securing his support for membership, particularly because of what he sees as Sweden providing safe haven to members of the Kurdistan Workers’ Party (PKK) and the Democratic Union Party (PYD) in Syria, both of which Ankara considers “terrorists”.","NATO launches Arctic exercises, pledges protection of Finland Turkey ratified Finland’s NATO membership but has yet to do so for Sweden. Turkish President Recep Tayyip Erdogan says Sweden has not yet met all of his country’s demands on securing his support for membership, particularly because of what he sees as Sweden providing safe haven to members of the Kurdistan Workers’ Party (PKK) and the Democratic Union Party (PYD) in Syria, both of which Ankara considers “terrorists”.",NEGATIVE,0.9983640313148499
The New York Times,https://www.nytimes.com/interactive/2023/05/15/world/europe/turkey-election-results.html,Turkey Election Maps: Why Erdogan Is Headed For a Runoff,"May 15, 2023","Recep Tayyip Erdogan, Turkey’s longtime incumbent leader, will head to a presidential election runoff for the first time in his career after falling short of the 50 percent needed to win in national elections on Sunday. Some of the sharpest rebukes came from the provinces around Turkey’s two largest cities, Istanbul and Ankara, where Mr. Erdogan won in 2018 but was behind on Monday, and from areas in central Turkey that have traditionally provided Mr. Erdogan’s core support. Shifts were more muted in areas where opposition politicians have generally done well, along the Mediterranean coast to the west and in Turkey’s southeast, home to most of the Kurdish population. The vote was in many ways a referendum on the performance of Mr. Erdogan, Turkey’s dominant politician for 20 years.","Turkey Election Maps: Why Erdogan Is Headed For a Runoff Recep Tayyip Erdogan, Turkey’s longtime incumbent leader, will head to a presidential election runoff for the first time in his career after falling short of the 50 percent needed to win in national elections on Sunday. Some of the sharpest rebukes came from the provinces around Turkey’s two largest cities, Istanbul and Ankara, where Mr. Erdogan won in 2018 but was behind on Monday, and from areas in central Turkey that have traditionally provided Mr. Erdogan’s core support. Shifts were more muted in areas where opposition politicians have generally done well, along the Mediterranean coast to the west and in Turkey’s southeast, home to most of the Kurdish population. The vote was in many ways a referendum on the performance of Mr. Erdogan, Turkey’s dominant politician for 20 years.",NEGATIVE,0.9784284234046936
The Guardian,https://www.theguardian.com/world/2024/mar/07/its-now-or-never-for-cyprus-reunification-says-top-un-official,"It’s now or never for Cyprus reunification, says top UN official",7 Mar 2024 17.20 CET,"Tasked with gauging whether conditions are ripe to resume negotiations, the new envoy, María Ángela Holguín Cuellar, in January met Nikos Christodoulides, president in the island’s internationally recognised south, and Ersin Tatar, the Turkish Cypriot leader in Cyprus’s breakaway north. Initially established to prevent further fighting between the two communities in the wake of inter-ethnic hostilities in 1964, the mandate of the UN peacekeeping force in Cyprus (UNFICYP) has been continually renewed in the almost half century since a coup aimed at union with Greece prompted Turkey to invade and seize the island’s northern third. The self-styled Turkish Republic of Northern Cyprus unilaterally declared independence in 1983, although only Ankara has recognised it. Under Tatar, a self-avowed nationalist, Turkish Cypriots have hardened their stance, ruling out a peace deal that would result in the island being reunified as a bi-communal, bi-zonal federation. After meeting Holguín, the leader reiterated that the resumption of negotiations would not take place unless Turkish Cypriot sovereignty was first recognised – a condition that has been roundly rejected by the international community. Greek Cypriots, who in contrast to Turkish Cypriots rejected a UN-brokered peace plan in 2004 – shortly before the island acceded to the European Union – argue they will never accept a solution that formalises partition. In a ray of light, there were, he noted, Greek Cypriots who “are pushing” for talks to resume while a moment of rapprochement between historic Nato rivals Greece and Turkey, he said, could not be ignored.","It’s now or never for Cyprus reunification, says top UN official Tasked with gauging whether conditions are ripe to resume negotiations, the new envoy, María Ángela Holguín Cuellar, in January met Nikos Christodoulides, president in the island’s internationally recognised south, and Ersin Tatar, the Turkish Cypriot leader in Cyprus’s breakaway north. Initially established to prevent further fighting between the two communities in the wake of inter-ethnic hostilities in 1964, the mandate of the UN peacekeeping force in Cyprus (UNFICYP) has been continually renewed in the almost half century since a coup aimed at union with Greece prompted Turkey to invade and seize the island’s northern third. The self-styled Turkish Republic of Northern Cyprus unilaterally declared independence in 1983, although only Ankara has recognised it. Under Tatar, a self-avowed nationalist, Turkish Cypriots have hardened their stance, ruling out a peace deal that would result in the island being reunified as a bi-communal, bi-zonal federation. After meeting Holguín, the leader reiterated that the resumption of negotiations would not take place unless Turkish Cypriot sovereignty was first recognised – a condition that has been roundly rejected by the international community. Greek Cypriots, who in contrast to Turkish Cypriots rejected a UN-brokered peace plan in 2004 – shortly before the island acceded to the European Union – argue they will never accept a solution that formalises partition. In a ray of light, there were, he noted, Greek Cypriots who “are pushing” for talks to resume while a moment of rapprochement between historic Nato rivals Greece and Turkey, he said, could not be ignored.",POSITIVE,0.9836446046829224
BBC,https://www.bbc.com/sport/football/videos/cv2gxxn4z93o,Tosun scores late winner as Turkey edge past Czechs in fiery game,27 Jun 2024,Cenk Tosun scores a stoppage-time winner as Turkey beat the Czech Republic 2-1 in a fiery final group game to reach the Euro 2024 knockouts.,Tosun scores late winner as Turkey edge past Czechs in fiery game Cenk Tosun scores a stoppage-time winner as Turkey beat the Czech Republic 2-1 in a fiery final group game to reach the Euro 2024 knockouts.,POSITIVE,0.999489426612854
Aljazeera,https://www.aljazeera.com/where/turkey/news/liveblog/2023/2/18/turkey-syria-updates-death-toll-from-earthquakes-passes-45000,"Turkey-Syria updates: Death toll surpasses 46,000",18 Feb 2023,"These were the updates on the Turkey-Syria earthquake on Saturday, February 18: Grieving internet users are sharing old tweets and videos embarrassing for the Turkish government after last week’s disastrous earthquake. More than 84,000 buildings have either collapsed, need urgent demolition or were severely damaged in the quake, Turkish officials have said. WFP Director David Beasley has said the agency was running out of stocks there and called for more border crossings to be opened from Turkey. For families still waiting to retrieve relatives in Turkey, there is growing anger about what they see as corrupt building practices and deeply flawed urban development that resulted in thousands of homes and businesses disintegrating. Turkey has promised to investigate anyone suspected of responsibility for the collapse of buildings and has ordered the detention of more than 100 suspects, including developers. Turkish health minister Fahrettin Koca said on Saturday that although there had been a rise in intestinal and upper respiratory infections, the numbers did not pose a serious threat to public health. He added that the cash aid of 10,000 Turkish lira ($531) has been made to more than 682,000 citizens. While the exact number of displaced people across southern Turkey is unknown, there are more than one million living in tent encampments. “When you consider 13.5 million people across southern Turkey have been impacted by this disaster, you get a sense of the enormous challenge the Turkish government will face,” said Al Jazeera’s Natasha Ghoneim, speaking from the city of Adana. “The government said 75,000 buildings in Turkey have been destroyed or damaged; another almost mind-numbing statistic that gives you the sense of a colossal needs people will have in the coming weeks and months.” Nearly 6,500 babies have been born in southern Turkey since twin earthquakes shook the region earlier this month, the Turkish health minister said.","Turkey-Syria updates: Death toll surpasses 46,000 These were the updates on the Turkey-Syria earthquake on Saturday, February 18: Grieving internet users are sharing old tweets and videos embarrassing for the Turkish government after last week’s disastrous earthquake. More than 84,000 buildings have either collapsed, need urgent demolition or were severely damaged in the quake, Turkish officials have said. WFP Director David Beasley has said the agency was running out of stocks there and called for more border crossings to be opened from Turkey. For families still waiting to retrieve relatives in Turkey, there is growing anger about what they see as corrupt building practices and deeply flawed urban development that resulted in thousands of homes and businesses disintegrating. Turkey has promised to investigate anyone suspected of responsibility for the collapse of buildings and has ordered the detention of more than 100 suspects, including developers. Turkish health minister Fahrettin Koca said on Saturday that although there had been a rise in intestinal and upper respiratory infections, the numbers did not pose a serious threat to public health. He added that the cash aid of 10,000 Turkish lira ($531) has been made to more than 682,000 citizens. While the exact number of displaced people across southern Turkey is unknown, there are more than one million living in tent encampments. “When you consider 13.5 million people across southern Turkey have been impacted by this disaster, you get a sense of the enormous challenge the Turkish government will face,” said Al Jazeera’s Natasha Ghoneim, speaking from the city of Adana. “The government said 75,000 buildings in Turkey have been destroyed or damaged; another almost mind-numbing statistic that gives you the sense of a colossal needs people will have in the coming weeks and months.” Nearly 6,500 babies have been born in southern Turkey since twin earthquakes shook the region earlier this month, the Turkish health minister said.",NEGATIVE,0.9776745438575745
The New York Times,https://www.nytimes.com/2024/08/03/insider/prisoner-swap-evan-gershkovich.html,A Times Russia Reporter Reflects on Evan Gershkovich’s Release,"Aug. 3, 2024","On Thursday, multiple planes touched down in Ankara, Turkey, releasing 24 people in a seven-nation prisoner exchange that finally resolved a human drama and diplomatic standoff.","A Times Russia Reporter Reflects on Evan Gershkovich’s Release On Thursday, multiple planes touched down in Ankara, Turkey, releasing 24 people in a seven-nation prisoner exchange that finally resolved a human drama and diplomatic standoff.",POSITIVE,0.9912223815917969
BBC,https://www.bbc.com/sport/football/65915726,Volcanoes and sabotage: Wales’ last time in Turkey,19 Jun 2023,"Even by their standards, though, Wales' last visit to Turkey in 1997 was wild. Gould and his players arrived in Istanbul with their hopes of qualifying for the 1998 World Cup, as usual at the time, almost non-existent. The Netherlands and Belgium were Group 7's heavyweights but few away fixtures during that decade instilled fear like one in Turkey. Istanbul in particular was a hotbed for intimidating atmospheres; think of the infamous 'Welcome to hell' greeting from Galatasaray fans' for Manchester United in 1993. Wales forward Dean Saunders had played for Gala during the 1995-96 season but, for his international team-mates, a first visit to the Turkish capital was an assault on the senses. Gould's unorthodox methods were on full display in Istanbul, starting with his deployment of Wales' brightest attacking talent, Manchester United winger Ryan Giggs. The Giggs experiment backfired immediately as Turkey scored two goals in the first eight minutes. Wales wilted and conceded three unanswered goals as Sukur ended the game with four to give Turkey a 6-4 win. Wales will be back in Turkey on Monday night for the first time since that crazy night in 1997, unrecognisable from the anarchy of the 90s. Matches like this no longer hold any fear and, even for those who were in Istanbul 26 years ago, the scars have healed. They passed the test in Croatia and they'll be ready for it in Turkey.""","Volcanoes and sabotage: Wales’ last time in Turkey Even by their standards, though, Wales' last visit to Turkey in 1997 was wild. Gould and his players arrived in Istanbul with their hopes of qualifying for the 1998 World Cup, as usual at the time, almost non-existent. The Netherlands and Belgium were Group 7's heavyweights but few away fixtures during that decade instilled fear like one in Turkey. Istanbul in particular was a hotbed for intimidating atmospheres; think of the infamous 'Welcome to hell' greeting from Galatasaray fans' for Manchester United in 1993. Wales forward Dean Saunders had played for Gala during the 1995-96 season but, for his international team-mates, a first visit to the Turkish capital was an assault on the senses. Gould's unorthodox methods were on full display in Istanbul, starting with his deployment of Wales' brightest attacking talent, Manchester United winger Ryan Giggs. The Giggs experiment backfired immediately as Turkey scored two goals in the first eight minutes. Wales wilted and conceded three unanswered goals as Sukur ended the game with four to give Turkey a 6-4 win. Wales will be back in Turkey on Monday night for the first time since that crazy night in 1997, unrecognisable from the anarchy of the 90s. Matches like this no longer hold any fear and, even for those who were in Istanbul 26 years ago, the scars have healed. They passed the test in Croatia and they'll be ready for it in Turkey.""",POSITIVE,0.9938871264457703
The Guardian,https://www.theguardian.com/world/2024/jan/24/why-is-orban-blocking-swedens-entry-to-nato-and-what-happens-next,Why is Orbán blocking Sweden’s entry to Nato – and what happens next?,24 Jan 2024 17.56 CET,"After Turkey’s parliament ratified Sweden’s membership of the military alliance, attention turns to Hungary, the final hurdle On Tuesday, Turkey’s parliament ratified Swedish membership, putting the country a step closer to accession – but it is still awaiting the Turkish president Recep Tayyip Erdoğan’s final signature. While all Nato countries agreed Sweden and Finland should become members of the alliance, Turkey raised concerns, in particular about the activities of Kurdish groups and restrictions on arms exports to Turkey. As a result, in June 2022, the three countries signed a joint memorandum outlining steps they would take to address Ankara’s qualms, and in return Turkey said it would support inviting Sweden and Finland to become Nato members. But while most Nato countries quickly ratified Sweden and Finland’s membership, Turkey and Hungary dragged out the process. Turkey’s leadership has used the accession as a negotiating chip, including in its quest to get approval to buy American F-16 fighter jets. On Tuesday, Turkey’s parliament finally voted in favour of Swedish membership, and Erdoğan is expected to sign the legislation in the coming days. Unlike Ankara, which held highly structured negotiations with Finland and Sweden, Budapest has not made any concrete demands. Reacting to the vote in Turkey’s parliament, the Swedish prime minister, Ulf Kristersson, said: “Today we are one step closer to becoming a full member of Nato,” adding that it was “positive” that the parliament had signed off. A second senior European diplomat said that “after good news from Ankara, all attention goes to Budapest”.","Why is Orbán blocking Sweden’s entry to Nato – and what happens next? After Turkey’s parliament ratified Sweden’s membership of the military alliance, attention turns to Hungary, the final hurdle On Tuesday, Turkey’s parliament ratified Swedish membership, putting the country a step closer to accession – but it is still awaiting the Turkish president Recep Tayyip Erdoğan’s final signature. While all Nato countries agreed Sweden and Finland should become members of the alliance, Turkey raised concerns, in particular about the activities of Kurdish groups and restrictions on arms exports to Turkey. As a result, in June 2022, the three countries signed a joint memorandum outlining steps they would take to address Ankara’s qualms, and in return Turkey said it would support inviting Sweden and Finland to become Nato members. But while most Nato countries quickly ratified Sweden and Finland’s membership, Turkey and Hungary dragged out the process. Turkey’s leadership has used the accession as a negotiating chip, including in its quest to get approval to buy American F-16 fighter jets. On Tuesday, Turkey’s parliament finally voted in favour of Swedish membership, and Erdoğan is expected to sign the legislation in the coming days. Unlike Ankara, which held highly structured negotiations with Finland and Sweden, Budapest has not made any concrete demands. Reacting to the vote in Turkey’s parliament, the Swedish prime minister, Ulf Kristersson, said: “Today we are one step closer to becoming a full member of Nato,” adding that it was “positive” that the parliament had signed off. A second senior European diplomat said that “after good news from Ankara, all attention goes to Budapest”.",POSITIVE,0.6201134324073792
The New York Times,https://www.nytimes.com/es/2024/08/03/espanol/intercambio-prisioneros-rusia-eeuu.html,¿Cómo fue el gran intercambio de prisioneros con Rusia?,"Aug. 3, 2024","Al mismo tiempo, un avión del gobierno ruso se dirigía a Ankara, la capital de Turquía, con miembros de la agencia de inteligencia rusa FSB y 16 prisioneros liberados por Rusia y Bielorrusia. El mes pasado, agentes de la CIA se reunieron en Turquía con sus homólogos del FBS para acordar los términos finales del canje y planificar la vertiginosa logística que permitiría llevarlo a cabo en la pista de Ankara. El avión aterrizó en Ankara en coordinación con varios jets privados: el de Alemania, el del aeropuerto de Dulles y unos en Polonia, Eslovenia y Noruega, que también estaban liberando prisioneros para Rusia. Colaboraron con la reportería Philip Kaleta desde Washington, Ben Hubbard desde Istanbul, Valerie Hopkins desde Colonia, Alemania, Ekaterina Bodyagina y Christopher F.","¿Cómo fue el gran intercambio de prisioneros con Rusia? Al mismo tiempo, un avión del gobierno ruso se dirigía a Ankara, la capital de Turquía, con miembros de la agencia de inteligencia rusa FSB y 16 prisioneros liberados por Rusia y Bielorrusia. El mes pasado, agentes de la CIA se reunieron en Turquía con sus homólogos del FBS para acordar los términos finales del canje y planificar la vertiginosa logística que permitiría llevarlo a cabo en la pista de Ankara. El avión aterrizó en Ankara en coordinación con varios jets privados: el de Alemania, el del aeropuerto de Dulles y unos en Polonia, Eslovenia y Noruega, que también estaban liberando prisioneros para Rusia. Colaboraron con la reportería Philip Kaleta desde Washington, Ben Hubbard desde Istanbul, Valerie Hopkins desde Colonia, Alemania, Ekaterina Bodyagina y Christopher F.",NEGATIVE,0.9866963028907776
BBC,https://www.bbc.com/news/videos/c07n9rey929o,Why is Turkey deepening its ties with Somalia?,18 Sep 2024,"Amid escalating tensions in the Horn of Africa as Somalia and Ethiopia row over a maritime deal, which has also drawn in Egypt – Turkey has been one party trying to act as mediator. Turkey is well placed as a long-time partner of Somalia, investing in the country for over a decade now.","Why is Turkey deepening its ties with Somalia? Amid escalating tensions in the Horn of Africa as Somalia and Ethiopia row over a maritime deal, which has also drawn in Egypt – Turkey has been one party trying to act as mediator. Turkey is well placed as a long-time partner of Somalia, investing in the country for over a decade now.",POSITIVE,0.9976440072059631
