source,article_url,title,date,shortened_full_text,sentiment_label,sentiment_score
The Guardian,https://www.theguardian.com/film/2022/aug/08/between-two-dawns-review-powerful-workplace-drama-over-safety-failings,Between Two Dawns review – powerful workplace drama over safety failings,8 Aug 2022 14.00 CEST,"Turkish director Selman Nacar made a strong impression with his debut feature, a tough workplace-negligence drama at last year’s San Sebastian film festival.",POSITIVE,0.9995686411857604
BBC,https://www.bbc.com/sport/football/videos/cv22ggrzwlro,Captain Calhanoglu puts Turkey ahead after great Stanek save,26 Jun 2024,Watch Turkey captain Hakan Calhanoglu puts Turkey ahead moments after a great save from Czech Republic keeper Jindrich Stanek at Euro 2024.,POSITIVE,0.999549686908722
The New York Times,https://www.nytimes.com/2023/07/16/world/europe/black-sea-grain-deal-deadline-looms.html,"Black Sea Grain Deal Hangs on 11th-Hour Talks, Again","July 16, 2023","The Black Sea Grain Initiative, brokered by the United Nations and Turkey, is a rare example of fruitful negotiations between Ukraine and Russia since the start of the full-scale invasion.",POSITIVE,0.9995480179786682
The New York Times,https://www.nytimes.com/2021/12/13/business/inflation-turkey-brazil-hungary.html,Inflationary Wave Changes Political Terrain for Right-Wing Populists,"Dec. 13, 2021","The leaders of Turkey, Hungary and Brazil are all grappling with problems posed by the global rise in prices ahead of national elections. Mr. Bolsonaro is among a generation of right-wing populists who, in the past decade and a half, have risen to power in democracies like Turkey, Brazil and Hungary, and whose reigns have coincided, at least at first, with periods of solid economic performance in those countries. Carlotta Gall is the Istanbul bureau chief, covering Turkey.",POSITIVE,0.999480664730072
Aljazeera,https://www.aljazeera.com/where/turkey/news/2024/6/15/g7-leaders-put-on-good-show-of-unity-but-look-fragile-at-home,"G7 leaders put on good show of unity, but look fragile at home",15 Jun 2024,"Hosting the summit, Italian Prime Minister Giorgia Meloni invited a large number of guests including heads of state of India, Turkey, Brazil and the United Arab Emirates.",POSITIVE,0.9994621872901917
BBC,https://www.bbc.com/sport/football/videos/cv2gxxn4z93o,Tosun scores late winner as Turkey edge past Czechs in fiery game,27 Jun 2024,Cenk Tosun scores a stoppage-time winner as Turkey beat the Czech Republic 2-1 in a fiery final group game to reach the Euro 2024 knockouts.,POSITIVE,0.9994603991508484
Aljazeera,https://www.aljazeera.com/where/turkey/program/newsfeed/2024/12/9/clip-syria-queue-turkish-border-final,Syrians reclaim hope as they return after years of exile,01:02,"At the Bab Al-Hawa crossing on the border with Turkey, Syrians flood back home with a newfound hope.",POSITIVE,0.9994375109672546
The Guardian,https://www.theguardian.com/culture/2024/sep/21/on-my-radar-yotam-ottolenghis-cultural-highlights,On my radarOn my radar: Yotam Ottolenghi’s cultural highlights,21 Sept 2024 16.00 CEST,"The chef on a novel that triumphantly captures messy London life, a Turkish Netflix drama that shows Istanbul’s split worlds and the app that gets him going in the morning Ethos was my first dip into Turkish television. It paints a vivid picture of Istanbul, connecting people from all walks of life through shared struggles, whether it’s the challenges faced by a housekeeper or the inner turmoil of a modern therapist. It focuses on one particular woman – she’s a traditional Muslim but is exposed to modern Istanbul, which has a very secular side to it, and she is torn between those two worlds. The cinematography is striking, the characters deeply human, and it offers a slice of Turkish society that feels both specific and completely relatable.",POSITIVE,0.999380588531494
The New York Times,https://www.nytimes.com/2024/10/22/world/europe/fethullah-gulen-erdogan-turkey.html,The Coup Attempt That Set Turkey on a Path to Authoritarianism,"Oct. 22, 2024","Carlotta Gall worked as bureau chief in Istanbul for five years from 2017, reporting on events following the attempted coup in Turkey and the changes wrought by Mr. Erdogan. Mr. Gulen’s millions-strong following of educated and motivated Turks helped fill the ranks of government, as well as the media, the police and law courts, helping Mr. Erdogan run the country and cement his power. In the early years of Mr. Erdogan’s leadership as prime minister, Gulen followers were the most prominent spokesmen for the government in Turkey and abroad.",POSITIVE,0.9993544220924376
BBC,https://www.bbc.com/sport/football/51135482,Italy ease past Turkey in Euros opener,12 Jun 2021,"Euro 2020 opened in spectacular fashion as Italy got their campaign off to an impressive start in front of their own fans with a comfortable victory against Turkey. Turkey had beaten world champions France in qualifying but they lacked a real threat without Cenk Tosun, their top scorer in qualifying, who is out of the tournament with a knee injury. Both teams are back in Group A action on Wednesday, with Wales providing the opposition for Turkey in Baku (17:00 BST) while Italy take on Switzerland in Rome (20:00).",POSITIVE,0.99933123588562
Aljazeera,https://www.aljazeera.com/where/turkey/sports/2023/10/2/paola-egonu-volleyball-star-racism-italy,‘They’re going to come at you’: Paola Egonu on racism and volleyball,25:00,"Determined to put this behind her, Egonu moved to Turkey and helped secure the CEV Champions League trophy for her club, VakifBank.",POSITIVE,0.999302625656128
The New York Times,https://www.nytimes.com/2023/06/15/books/review/anya-von-bremzen-national-dish.html,How Do Certain Foods Become National Dishes?,"June 15, 2023","Von Bremzen’s journey takes her through six cities — Paris, Naples, Tokyo, Seville, Oaxaca and Istanbul — and countless restaurants, kitchens and bars as she nibbles her way to an answer.",POSITIVE,0.9992884397506714
BBC,https://www.bbc.com/news/world-middle-east-56474734,Millions around world celebrate Persian New Year,21 Mar 2021,"It is mainly celebrated in Iran, Afghanistan, the Kurdish regions of Iraq and Turkey as well as by Parsis in India and diaspora communities around the rest of the world. In Turkey, thousands of Kurdish people celebrated in Istanbul with music and dancing.",POSITIVE,0.999277651309967
BBC,https://www.bbc.com/sport/football/56252254,NI arrange Turkey and Ukraine friendlies,2 Mar 2021,Northern Ireland will take on Turkey and Ukraine in away friendlies in Antalya and Kyiv on 31 May and 3 June. Turkey and Ukraine will use the friendlies as preparations for their Euro 2020 finals challenges. The Turks qualified for the finals after finishing second in their group behind world champions France with Andriy Shevchenko's side progressing after topping a group which included defending champions Portugal.,POSITIVE,0.9992745518684388
The New York Times,https://www.nytimes.com/2022/10/26/books/books-istanbul.html,Read Your Way Through Istanbul,"Oct. 26, 2022","Istanbul is unfathomable: old and new, real and surreal, melancholic and absurd. Ever since the Byzantine times, Istanbul has been home to artists, poets and storytellers. Perhaps the very first thing to grasp about this mesmerizing metropolis is that there is no such thing as Istanbul. Istanbul inspired and captivated me from an early age; it both made and broke me. It was there that I was put on trial for writing “The Bastard of Istanbul,” a novel that reflected on minorities, memory and collective amnesia, and that unspeakable taboo, the Armenian genocide. From sexuality to politics to everyday life, the lack of freedom of speech in every sphere and the sway of populist authoritarianism make it increasingly hard for Turkey’s authors and artists to tell their stories freely. One thing I’ve learned ever since I left Istanbul is that we do not forget the places we love. Bettany Hughes’s “Istanbul: A Tale of Three Cities” is a brilliant and beautifully written urban biography. The 19th century Italian traveler Edmondo de Amicis’ iconic work “Constantinople” is one of the best sources for anyone interested in the cosmopolitan heritage of Istanbul. Turkey has a long and complex social, cultural and political history. We are a society of collective amnesia and nowhere does this manifest itself more strikingly than in Istanbul.",POSITIVE,0.9992423057556152
The Guardian,https://www.theguardian.com/books/article/2024/jun/27/five-of-the-best-books-about-turkey,Five of the bestFive of the best books about Turkey,27 Jun 2024 13.00 CEST…… comments,"Turkey is a nation that likes to tell stories – over long conversations in tea houses, in songs and epics, and yes, in print too. As Turkey passes its centenary, here are five of the best books to understand the country’s first 100 years. Reflecting on his childhood, Orga remembers eating melon, on ice, on a silver plate when he first heard the drums of war – those that announced, all over Istanbul, that the first world war had begun. For him and others in Turkey, nearly a decade of violence would follow. This memoir captures the founding years of the Turkish republic and the pain of those who lived through it, as Orga describes his wealthy Ottoman family’s descent into poverty and humiliation. Set in early republican Istanbul, Tanpinar’s novel was a groundbreaking satire of the politics of early Turkey – namely, the project to modernise the nation, with reforms at once liberating and overbearing. “The evening unfurled like a ribbon,” he writes, describing Istanbul’s sunsets, “whose colours ran from wine dark to golden.” Turkey’s best loved and coolest poet, Hikmet was a communist imprisoned in Turkey and exiled to Moscow, whose work was officially banned in the country of his birth for years. His poetry is known for its human scale, for the stories of everyday people told in everyday Turkish (and translated brilliantly here). Perhaps the defining change in Turkey over its second half-century can be summed up by one fact: in 1950, Istanbul’s population was around one million; today it stands at 16 million. In 2016, writer Altan was arrested and sent to prison, along with his brother and tens of thousands more – the victims of Turkey’s purges after its failed attempted coup. And so, over a period of seven months, he smuggled out handwritten notes to his lawyers, slowly putting together a memoir of his time in Silivri, Turkey’s biggest and most notorious jail. Written with a novelist’s precision, it is a testament to Turks’ enduring belief in the power of stories. The Endless Country: A Personal Journey Through Turkey’s First Hundred Years by Sami Kent is published by Picador (£20).",POSITIVE,0.999215841293335
Aljazeera,https://www.aljazeera.com/where/turkey/program/inside-story/2023/5/29/what-does-re-election-of-erdogan-mean-for-turkey-and-the-world,What does re-election of Erdogan mean for Turkey and the world?,29:00,"It went to a run-off after a very tight first round, but Recep Tayyip Erdogan has emerged the clear winner of Turkey’s presidential election. A key player between east and west, Turkey’s relations are complex, such as the NATO member also being on good terms with Russia. Helin Sari Ertem – Associate professor of International Relations at Istanbul Medeniyet University",POSITIVE,0.9992130994796752
Aljazeera,https://www.aljazeera.com/where/turkey/opinions/2023/5/31/erdogans-re-election-is-good-news-for-turkiye-and-the-world,Erdogan’s re-election is good news for Turkiye – and the world,31 May 2023,"On Sunday, Turkish voters demonstrated the strength of Turkish democracy and voiced their support for President Erdogan’s vision for global peace and stability. The results reaffirm the vibrancy of Türkiye’s political landscape and the faith Turkish people have in their democracy. That Turkish voters trusted President Recep Tayyip Erdogan to lead the nation for another five years bodes exceptionally well for regional stability and global peace. Amid this rich tapestry and despite all the expected tensions that come with an election, Turkish citizens used their ballots to reiterate their trust in and support for President Erdogan’s policies and vision for the country. He reaffirmed that his achievements will belong not only to his supporters but to all Turkish citizens. In this election, President Erdogan defeated not only the opposition candidate but the xenophobic and anti-refugee elements on the fringes of Turkish society whose support he relied on. By once again choosing President Erdogan, Turkish people clearly stated that they too believe refugees currently residing in Türkiye should return to their home countries only when it is safe to do so. Erdogan’s re-election also demonstrates the Turkish people’s support for and appreciation of their country’s resolute stance against terrorism. The Turkish nation placed its trust in President Erdogan once again, sending a clear message to the world: we are ready to work with you based on principles of mutual respect and common interests. The election has not only reaffirmed the strength of Turkish democracy but also demonstrated the Turkish people’s unyielding resolve to be led by a leader with a vision for peace, equality, and justice. As we mark the centennial of our republic, Turkish people have reaffirmed their readiness to march forward, guided by President Erdogan’s vision for the future. Now that the Turkish nation has once again voiced its support for Erdogan’s vision, the world must join him in his quest for sustainable peace and global stability.",POSITIVE,0.9991955161094666
The New York Times,https://www.nytimes.com/2024/01/25/t-magazine/istanbul-arkestra-restaurant-ritmo.html,A Red Velvet Bistro in an Istanbul Villa,"Jan. 25, 2024","When Debora Ipekel, a former music business executive, and her husband, Cenk Debensason, a classically trained chef, first came up with the concept for a new restaurant venture in their hometown, Istanbul, they wanted to create an experience that would encompass both their worlds. Drawing on her career in music, Ipekel curates late-night sets alongside guests such as the Chicago disco legend Sadar Bahar and the Turkish DJ Barış K.",POSITIVE,0.9991592168807985
The Guardian,https://www.theguardian.com/books/2022/sep/14/top-10-novels-about-turkey-at-the-breakfast-table-by-defne-suman,Top 10sTop 10 novels about Turkey,14 Sept 2022 13.00 CEST…… comments,"I am often asked what defines Turkish literature. Or Elif Shafak’s novels, which highlight the difficulty of being a woman in Turkey? Does our literature have to be political in order to be considered “Turkish”? In my latest novel, At the Breakfast Table, a family gathering to celebrate the matriarch’s 100th birthday soon exposes the family’s – and Turkey’s – fraught history. In this way, I see my writing as Turkish – these are the issues that we breathe every day; they are buried in the soil under our feet. Yet there is also a balance: the greatest Turkish literature discusses serious issues, but will also lighten the heart and put a smile on your face. With the choices below, I wanted to highlight books about Turkey that not only talk about its historical and social context, but also reflect the distinctive styles and the creativity of their authors in dealing with individual, philosophical and political questions. In the Shadow of the Yali by Suat DervisOriginally published in 1945, this is the Madame Bovary of Turkish literature. One of Turkey’s leading female authors, Dervis (1905–72) wrote about the loss and longing of urban, affluent Turkish women. In this novel, Celile is torn between her respectable husband and her passionate tango partner in 1940s Istanbul. Although the story is, in many ways, universal, Dervis brilliantly captures the particularities of Turkish society and its struggle with modernity. Set in 1970s Istanbul, it follows 30-year-old Kemal, the son of an educated urban family, who falls in love with a distant relative – the beautiful 18-year-old Füsun – who comes from a family of modest means. Pamuk has also built a real Museum of Innocence: if you are visiting Istanbul, you can go to Füsun’s house and see “her” shoes and dresses, cinema tickets, and the hundreds of cigarette butts that the heartbroken Kemal collected. It is at once funny and tragic, a modern Istanbul story that takes place in 10 flats which sit within the once-glorious, now dilapidated Bonbon Palace. A story within a story which is told from the different perspectives of the building’s residents, The Flea Palace paints a brilliant picture of Turkey on the brink of the 21st century, and is written with intelligence and love.",POSITIVE,0.9991503953933716
Aljazeera,https://www.aljazeera.com/where/turkey/news/2024/7/5/uefa-euro-2024-netherlands-turkey-preview-gakpo-guller-calhanoglu-team-news,Euro 2024: All you need to know about Netherlands vs Turkey quarterfinal,5 Jul 2024,"Netherlands and Turkey have hit top form at the right time and will go up against each other in an exciting quarterfinal. Although not the glamour tie of the quarterfinals, Netherlands and Turkey could provide one of the most memorable encounters. Turkey, among the most entertaining teams to watch in Germany, dominated their round of 16 tie against Austria, but in the end, only edged the victory 2-1. Turkey’s calibre came under doubt when they suffered a heavy defeat at the hands of Portugal in the group stage, but they made a surprising run to the last eight by knocking out in-form Austria, who were themselves emerging as dark horses. The Turks have now snatched that tag from Austria and could be on course to progress to the semifinals for only the second time in history. Dutch-born Ferdi Kadioglu, the stand-out player in Turkey’s win over Austria, is excited at the prospect of going up against the country of his birth. Turkey’s Real Madrid starlet, Arda Guler, has played with a maturity far beyond his 19 years, displaying calm and skill as he acts as an outlet for his side’s counters, and he provided an assist for the second goal against Austria. With the Dutch dominating possession against Romania and Turkey happy to let Austria have the ball and hit them on the counter, Berlin’s Olympiastadion is likely to see more of the same, with plenty of young talent on display.",POSITIVE,0.9991450309753418
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/4/29/turkeys-baykar-to-build-new-highly-autonomous-combat-drone,Turkey’s Baykar to build new ‘highly autonomous’ combat drone,29 Apr 2023,"Turkish defence firm Baykar aims to begin production of its new unmanned combat aerial vehicle next year which is already attracting international interest, its chairman Selcuk Bayraktar said. Baykar has come to prominence internationally in recent years because of the company’s light drone TB-2, which has been used in Ukraine, Azerbaijan, and North Africa and has been a huge export success, catapulting the firm to becoming one of the largest Turkish defence exporters. Deployment on Turkey’s amphibious ship is scheduled for next year. Bayraktar, who is married to Turkish President Recep Tayyip Erdogan’s daughter, spoke on the sidelines of an aerospace and technology festival organised by his foundation.",POSITIVE,0.999141812324524
The Guardian,https://www.theguardian.com/science/video/2024/aug/13/meteor-shower-viewed-in-skies-across-the-world-video,Meteor showers and northern lights captured in timelapse footage across the world – video,13 Aug 2024 12.06 CEST,"The Perseid meteor shower lights up the skies in Turkey, the US and Germany on the nights of 12 and 13 August",POSITIVE,0.9991245865821838
The Guardian,https://www.theguardian.com/film/2024/nov/18/dont-let-them-shoot-the-kite-review-turkish-kid-in-prison-tale-is-touching-and-urgent,Don’t Let Them Shoot the Kite review – Turkish kid-in-prison tale is touching and urgent,18 Nov 2024 10.00 CET,"This 1989 movie from Turkish director Tunç Basaran is a gentle and touching but also energised and emotionally urgent piece of work, whose cast present themselves to the audience with a rough-and-ready immediacy, like a theatrical company. But there’s no question as to the star turn: a rather amazing performance from five-year-old newcomer Ozan Bilen as Baris, a wide-eyed little boy who is sent to a women’s prison with his mum Fatma (Füsun Demirel) after Turkey’s 1980 military coup. The movie is recalled in flashback, as Inci (now released) looks over the hills of Ankara and remembers how she promised young Baris that her spirit would fly over the prison like a kite.",POSITIVE,0.9991230368614196
BBC,https://www.bbc.com/sport/football/videos/c2lkg7le3njo,Highlights: Netherlands come from behind to beat Turkey,6 Jul 2024,Watch highlights as Netherlands come from behind to beat Turkey 2-1 in Berlin to set up a Euro 2024 semi-final against England.,POSITIVE,0.9991102814674376
The Guardian,https://www.theguardian.com/artanddesign/2023/oct/13/212-photography-istanbul-highlights-turkey-photo-essay,The Guardian picture essayDigging into emotion: a tour of 212 Photography Istanbul – photo essay,13 Oct 2023 08.00 CEST,"Highlights from Turkey’s annual international photography festival, which runs until 15 October The art festival 212 Photography Istanbul defiantly breaks away from Turkey’s increasingly authoritarian politics and polarised society. It takes visitors on a tour of a lesser-known but vibrant and burgeoning Istanbul. Putting on a festival of photography in Turkey is no mean feat. Photograph by Cihangir Karatas/212 Photography Istanbul",POSITIVE,0.9990890026092528
The New York Times,https://www.nytimes.com/2023/05/22/world/middleeast/erdogan-endorsement-sinan-ogan.html,Erdogan Secures Endorsement of Former Rival for President,"May 22, 2023","The support of Sinan Ogan gives the Turkish president a boost as he takes on the opposition leader Kemal Kilicdaroglu. Reporting from Istanbul The candidate who came in third in Turkey’s presidential election last week announced on Monday that he was endorsing President Recep Tayyip Erdogan in the runoff vote on Sunday, granting Mr. Erdogan an additional boost against his remaining challenger. Mr. Erdogan, the dominant figure in Turkish politics for 20 years, appears to have an edge in the runoff, whose victor will shape Turkey’s domestic and foreign policies for the next five years. Throughout the campaign, Mr. Erdogan aimed to link himself in voters’ minds with the image of a strong Turkey, with expanding military might and geopolitical clout. Ben Hubbard is the Istanbul bureau chief.",POSITIVE,0.9990705847740172
The Guardian,https://www.theguardian.com/world/2023/feb/05/general-pervez-musharraf-obituary,General Pervez Musharraf obituary,5 Feb 2023 15.05 CET,"The formative influence was Turkey, where his parents took up positions at the Pakistan embassy in Ankara in 1949. There, the young Musharraf is said to have mastered Turkish while honing his appreciation of Kemal Atatürk’s vision of a Muslim identity at one with a secular disposition.",POSITIVE,0.9990482926368712
BBC,https://www.bbc.com/sport/football/videos/c9778ey41g8o,Mikautadze scores Georgia's first ever Euros goal,18 Jun 2024,Georges Mikautadze scores Georgia's first ever goal in the European Championship as he gets the equaliser against Turkey during their Group F match in Dortmund. FOLLOW LIVE: Turkey v Georgia,POSITIVE,0.9990473389625548
The New York Times,https://www.nytimes.com/interactive/2024/04/12/books/review/new-paperbacks-pin.html,6 New Paperbacks to Read This Week,"April 12, 2024","Graver’s fictionalized account of her grandmother’s journey from the Sephardic Jewish elite in Istanbul to working-class life in Spain, which had expelled her family 400 years before, to finally Cuba and New York, begins in 1907 Constantinople: “This, the beautiful time, the time of wingspans, leaps and open doors, of the heedless, headlong flow from here to there,” she writes.",POSITIVE,0.9990418553352356
The New York Times,https://www.nytimes.com/2024/07/23/opinion/turkey-stray-dogs.html,"When All Else Fails, Blame the Dogs","July 23, 2024","Mr. Genc is a journalist and novelist and the author, most recently, of “The Lion and the Nightingale: A Journey Through Modern Turkey.” He wrote from Istanbul. When I step out of my apartment in central Istanbul, dogs surround me. Living in Turkey has for decades, even centuries, meant navigating the stray dogs. For many people they are inseparable from the idea of Turkey itself. In his more than 20 years in power, he has pointed to intellectuals, journalists, refugees and others as the source of Turkey’s troubles.",POSITIVE,0.9990386962890624
The Guardian,https://www.theguardian.com/world/2023/feb/06/have-you-been-affected-by-the-earthquakes-in-turkey-and-syria,Have you been affected by the earthquakes in Turkey and Syria?,6 Feb 2023 14.04 CET,"We want to speak to people affected by the earthquakes that struck central Turkey and north-west Syria in early February Following the devastating earthquakes in Turkey and Syria in early February, we want to hear about how people in the region are coping with the disaster’s aftermath.",POSITIVE,0.9990335702896118
The New York Times,https://www.nytimes.com/2022/08/04/t-magazine/espresso-martinis-jersey-shore-hotel.html,Feeling Social but Tired? Try an Espresso Martini,"Aug. 4, 2022","Each guest room is unique, though a number of them feature custom Turkish rugs and work by the Australian artist Pamela Tang, whom DiStefano and Zuchowicki discovered on Instagram.",POSITIVE,0.999028205871582
BBC,https://www.bbc.com/sport/football/65930883,Roberts aims to emulate Kompany as coach in future,24 Jun 2023,"Roberts, who is in Wales' squad for Monday's Euro 2024 qualifier in Turkey, wants to emulate the Belgian, who he has tipped as a future City boss. Now they travel to Group D leaders Turkey on Monday hoping to revive their bid to reach next summer's tournament in Germany. Roberts scored when Wales last met Turkey at Euro 2020 in 2021, sealing a 2-0 victory in Azerbaijan which went a long way to securing Wales' place in the knockout stages.",POSITIVE,0.9990167617797852
The New York Times,https://www.nytimes.com/2023/05/30/world/europe/erdogan-turkey-election-women.html,A Pillar of Erdogan’s Victory: Devout Conservative Women,"May 30, 2023","In winning another term as Turkey’s president, Recep Tayyip Erdogan was propelled to victory in part by the fervent support of an often underappreciated constituency — conservative religious women. Reporting from Istanbul Ten years ago, Emine Kilic was focused on raising her two children at home in Istanbul when she decided to set up her own clothing company to help support her family. To beat back the most serious political threat to his two-decade tenure as Turkey’s dominant politician, Mr. Erdogan counted on the fervent support of an often underappreciated constituency: conservative religious women. Across Turkey, devout women, both professionals and those who don’t work outside the home, not only turned out to vote for Mr. Erdogan in large numbers, but also coaxed their friends and relatives to do the same.",POSITIVE,0.998989760875702
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/10/23/healing-ruins-explores-cleansing-rebirth-in-a-14th-century-hamam,Healing Ruins exhibition welcomes visitors at 14th century Turkish hammam,23 Oct 2023,"Istanbul, Turkey – On a hill close to the heart of Istanbul’s UNESCO World Heritage-listed Zeyrek district stands Cinili Hamam, a 500-year-old Turkish bathhouse whose unbroken history stretches back to the heights of the Ottoman Empire and the time of its legendary naval commander, Hayreddin Barbarossa. As the Ottoman Empire gave way to the increasingly Westernised Turkey of the 18th and 19th centuries, sensibilities moved away from older traditions, such as hammams, causing many – including Cinili Hamam – to fall into disrepair. Now, after a long and ambitious 13-year restoration effort, this lost treasure has been revitalised through the efforts of the Marmara Group and is once more a place of cleansing and relaxation, but also one that reflects much of Turkey’s hidden history. What was originally intended to be just another luxury bathhouse has evolved substantially, embracing Turkey’s rapidly expanding artistic scene as a new arts venue, including an on-site museum furnished with artefacts uncovered during the reconstruction effort. Turkish designer Ezgi Turksoy’s ceramic installation piece, entitled A Floor Talisman, takes the form of a ring of bright white, porcelain seashells arranged on the flagstones. “The circle has a lot of meaning and symbolic value in esoteric cultures and traditions,” explained Turksoy. The museum also provides an insight into the baths’ incredibly sophisticated water and heating systems along with interactive experiences that allow guests to explore a virtual reconstruction of Cinili Hamam, as it was at its height in the 16th century, along with a vast collection of objects associated with Turkish hammam culture.",POSITIVE,0.9989884495735168
The New York Times,https://www.nytimes.com/2023/05/28/world/middleeast/edorgan-election-turkey.html,"Despite Inflation, Earthquakes and Tough Race, Erdogan Is Re-elected","May 28, 2023","Reporting from Istanbul President Recep Tayyip Erdogan beat back the greatest political challenge of his career on Sunday, securing victory in a presidential runoff that granted five more years to a mercurial leader who has vexed his Western allies while tightening his grip on the Turkish state. His victory means Mr. Erdogan could remain in power for at least a quarter-century, deepening his conservative imprint on Turkish society while pursuing his vision of a country with increasing economic and geopolitical might. He will be ensconced as the driving force of a NATO ally of the United States, a position he has leveraged to become a key broker in the war in Ukraine and to enhance Turkey’s status as a Muslim power with 85 million people and critical ties across continents. Turkey’s Supreme Election Council declared Mr. Erdogan the victor late Sunday. Mr. Erdogan’s supporters shrugged off Turkey’s challenges, including a looming economic crisis, and lauded him for developing the country and supporting conservative Islamic values. In many Turkish cities on Sunday night, they honked car horns, cheered and gathered in public squares to watch the results roll in and await his victory speech. Thousands gathered outside the presidential palace in Ankara, waiving red and white Turkish flags. Ben Hubbard is the Istanbul bureau chief.",POSITIVE,0.9989315867424012
